scenario,production_id,assump_id,cat,desc,fuel_type,mj_stand,mj_hayr,mj_mg
tulare_001,cv_001,a_001,fertilizer avoidance,avoided uan-32 manu energy,NA,-11059.19780752714,-3686.3992691757135,-148.14991177664163
tulare_001,cv_001,a_001,fertility,"11-52-0 map, nitrogen",NA,2862.380609007025,954.1268696690084,38.344683048071964
tulare_001,cv_001,a_001,fertility,"11-52-0 map, p2o5",NA,7011.409133462503,2337.1363778208342,93.92540604033861
tulare_001,cv_001,a_001,field passes,field ops,diesel,3279.3813509817173,1093.1271169939057,43.93085884576832
tulare_001,cv_001,a_001,field passes,harvest,diesel,18877.580223096167,6292.526741032056,252.8855974259423
tulare_001,cv_001,a_001,irrigation,"sprinkler, ground",diesel,847.8799018684896,282.6266339561632,11.358268008689475
tulare_001,cv_001,a_001,irrigation,"surface, ground",diesel,23256.134451250004,7752.044817083334,311.5410653811971
tulare_001,cv_001,a_001,fuel manufacture,field ops,diesel,779.5876522807779,259.8625507602593,10.44341948825143
tulare_001,cv_001,a_001,fuel manufacture,harvest,diesel,4487.653880955314,1495.8846269851047,60.11697576248472
tulare_001,cv_001,a_001,fuel manufacture,"sprinkler, ground",diesel,201.56140179178485,67.18713393059495,2.700132904097697
tulare_001,cv_001,a_001,fuel manufacture,"surface, ground",diesel,5528.541306288956,1842.8471020963186,74.06078822667969
tulare_001,cv_001,a_001,pesticide manufacture,flumioxazin,NA,96.02679245725766,32.00893081908588,1.2863827086132609
tulare_001,cv_001,a_001,pesticide manufacture,chlorantraniliprole,NA,32.85924447515447,10.953081491718157,0.4401851069819819
tulare_001,cv_001,a_001,pesticide manufacture,paraquat,NA,799.9911665175099,266.6637221725033,10.716746621621622
tulare_001,cv_001,a_001,pesticide manufacture,pendimethalin,NA,3379.702923349419,1126.567641116473,45.27477477477478
tulare_001,cv_001,a_001,pesticide manufacture,glyphosate,NA,2992.1349610120856,997.3783203373619,40.082882882882885
tulare_001,cv_001,a_001,pesticide manufacture,lambda-cyhalothrin,NA,17.539921772879723,5.8466405909599075,0.23496621621621624
