system,flow_type,flow_cat,flow_desc,name,value,units
tulare_county,output,carbon_credit,co2,mid,1927.4219754438898,kg
tulare_county,output,carbon_credit,co2,best,6375.318841852867,kg
tulare_county,output,carbon_credit,co2,worst,1927.4219754438898,kg
tulare_county,output,carbon_credit,n2o,mid,0,kg
tulare_county,output,carbon_credit,n2o,best,1630.8955176832915,kg
tulare_county,output,carbon_credit,n2o,worst,0,kg
central_valley_organic,output,carbon_credit,co2,mid,2569.8959672585197,kg
central_valley_organic,output,carbon_credit,co2,best,8500.42512247049,kg
central_valley_organic,output,carbon_credit,co2,worst,2569.8959672585197,kg
central_valley_organic,output,carbon_credit,n2o,mid,0,kg
central_valley_organic,output,carbon_credit,n2o,best,2174.5273569110554,kg
central_valley_organic,output,carbon_credit,n2o,worst,0,kg
